RecordID,AadhaarNo,IMEI,MSISDN,StartTime,EndTime,Duration,SourceIP,SourcePort,DestinationIP,DestinationPort,Protocol,BytesUpload,BytesDownload,Service,AppName,ISP,CellTowerID,LAC,SessionType,DataType,Location,IsSuspicious,SuspiciousFlags,ConnectionQuality
d2ea3de3-5931-470a-be51-00fb7d0af98c,091578436999,358755076239037,6857111219,2025-08-23T02:17:40.532943,2025-08-23T02:22:03.532943,263,106.51.120.160,13261,142.250.183.14,443,HTTPS,413881,36427910,YouTube,YouTube,Vi,CTDEL4157,LAC1110,Data,Video,"28.612055,77.428403",False,,Good
8f6e906f-ab15-4d2e-bcd8-7857b7ef2b30,091578436999,352267115295198,6857111219,2025-08-23T02:17:44.532943,2025-08-23T02:18:53.532943,69,125.99.165.149,17846,91.108.4.41,5222,HTTPS,33645,399965,WhatsApp,WhatsApp,Vi,CTDEL1445,LAC1398,Data,IM,"28.62312,77.419038",False,,Good
354573a5-579d-4e9a-bb3a-83548defcec0,091578436999,352267115295198,6857111219,2025-08-23T02:18:45.532943,2025-08-23T02:19:57.532943,72,117.97.105.16,8198,157.240.12.35,5222,HTTPS,31407,411075,WhatsApp,WhatsApp,Vi,CTDEL9278,LAC6536,Data,IM,"28.578482,77.434924",False,,Good
debfc50c-fb07-49a2-926b-dc727e79e59c,091578436999,352267115295198,6857111219,2025-08-23T02:19:45.532943,2025-08-23T02:23:27.532943,222,125.99.104.252,60863,142.250.183.14,80,HTTPS,218282,36305786,YouTube,YouTube,Vi,CTDEL8984,LAC5427,Data,Video,"28.645641,77.446657",False,,Good
e29d9736-1ea9-469a-b360-8d87318a251e,091578436999,352267117062345,6857111219,2025-08-23T02:20:04.532943,2025-08-23T02:43:59.532943,1435,117.97.105.16,41047,91.108.4.41,443,HTTPS,36780,240809,WhatsApp,WhatsApp,Vi,CTDEL4936,LAC2512,Data,IM,"28.574824,77.435644",False,,Good
e18e1d33-2d0f-40a2-9b0b-731e3605f0d0,091578436999,358495098700641,6857111219,2025-08-23T02:20:31.532943,2025-08-23T02:22:28.532943,117,125.99.27.12,39163,172.217.160.78,80,HTTPS,384388,5125038,YouTube,YouTube,Vi,CTDEL9628,LAC2639,Data,Video,"28.623867,77.437261",False,,Good
81d438a7-fc09-436f-98e3-f3e5d5200d4f,091578436999,352267117062345,6857111219,2025-08-23T02:22:56.532943,2025-08-23T02:26:31.532943,215,203.122.205.130,33285,142.250.183.14,443,HTTPS,360004,9715959,YouTube,YouTube,Vi,CTDEL1493,LAC2895,Data,Video,"28.622789,77.42198",False,,Good
842f02ab-6c03-49a8-a4f1-1de8855408ee,091578436999,352267115295198,6857111219,2025-08-23T02:23:25.532943,2025-08-23T02:29:25.532943,360,117.97.14.227,59438,157.240.12.35,5222,HTTPS,13797,148745,WhatsApp,WhatsApp,Vi,CTDEL2064,LAC6868,Data,IM,"28.635599,77.411427",False,,Good
9eb22fa3-f08c-4a7d-9faa-4ee34a28304f,091578436999,358495098700641,6857111219,2025-08-23T02:23:26.532943,2025-08-23T02:27:55.532943,269,203.122.74.209,34086,91.108.4.41,5222,HTTPS,5190,264368,WhatsApp,WhatsApp,Vi,CTDEL2956,LAC3998,Data,IM,"28.605957,77.421573",False,,Good
d57643ad-ed25-4ec8-8d55-9e6297129679,091578436999,358495098700641,6857111219,2025-08-23T02:23:40.532943,2025-08-23T02:24:43.532943,63,103.21.56.187,14568,91.108.4.41,443,HTTPS,22324,245906,WhatsApp,WhatsApp,Vi,CTDEL6500,LAC6946,Data,IM,"28.620139,77.441109",False,,Good
